Row Labels,Monday,Tuesday,Wednesday,Thursday,Friday,Label
201102,-0.000375441,0.001878249,0.00599925,0.039135259,0.012912518,-0.03268223
201103,0.007436296,-0.052372652,0,-0.027448072,-0.01792521,-0.190158166
201104,0,-0.004271883,-0.062792436,-0.058676652,0.018567638,-0.067572816
201105,0.062933982,0.007758269,0.002836305,0.006868687,-0.036516854,-0.042058024
201106,0.003748438,-0.007883817,0.001254747,-0.012949122,-0.007194245,-0.03526971
201107,-0.016623999,0.061551799,-0.052266272,0.000430849,0.001292033,0.004768097
201108,-0.007311828,-0.010398614,0.082749562,-0.04569349,-0.01779661,0.022963648
201109,0,-0.056514193,-0.001829035,0.03206601,0.047936083,0.076358973
201110,0.011859296,0.00209301,0.003341646,0.014154913,0.024220032,0.007534575
201111,-0.000400802,-0.011226984,0.002433049,-0.028721644,0.002498959,-0.079390614
201112,-0.034067304,-0.012903183,-0.005664531,-0.000438256,0.006576063,-0.021505376
201113,-0.010017378,-0.023757105,0.000901217,0.005403017,0.018808777,0.172899252
201114,0.021978022,0.028817204,-0.008779306,0.170392289,-0.039279279,0.139354839
201115,-0.031132783,0.033681804,-0.007865206,0.028312571,-0.02753304,-0.009678668
201116,-0.046055115,-0.024535022,0.011359026,0.008423546,0.017502029,0.058171745
201117,-0.021501134,0.005193727,0.023449921,0.038446602,0,0.102676744
201118,-0.013089043,0.020462335,0.005569996,0.021418021,-0.002169197,0.02766207
201119,-0.005434746,-0.021129325,-0.00669892,-0.009366804,0.025718607,0.003642914
201120,0.029129756,0.01504837,-0.044475821,0.022164758,-0.004336863,0.002149731
201121,-0.034482724,-0.024060188,0.015023152,0.070208767,-0.008156099,0.110902218
201122,-0.041115447,-0.003728598,0.084580879,0.017253278,0.002374457,0.123415324
201123,0,0.01996616,-0.053749139,0.008415147,0.04763557,-0.057191136
201124,-0.047460938,-0.011498257,-0.044060626,0.018436577,0.008689355,-0.076655084
201125,0.020459403,0.005979599,-0.044755245,-0.030014641,0,-0.030249736
201126,-0.018490566,0.0584391,-0.011623755,0.018375598,-0.005052292,0.115724721
201127,-0.00398988,0.023670868,0.006403415,0.029692399,-0.003776142,0.04916242
201128,0,0.004135045,-0.006177076,0.026588433,-0.030945207,-0.049620951
201129,-0.015966644,-0.006349206,0.016684381,-0.035963619,-0.001086599,0.033157002
201130,-0.012690355,0.024237936,0.028684189,0.000348553,0.020557491,0.034520749
201131,-0.027313109,-0.017199017,-0.012857179,0.019175145,0,-0.149175149
201132,0.021299255,-0.049704553,-0.005120666,-0.090073563,-0.020606061,-0.08550577
201133,-0.024752517,0.060067684,-0.049481207,0.06213262,0.03992095,-0.05668359
201134,-0.003040631,-0.004956157,-0.010344828,-0.060782036,-0.080791467,-0.095310713
201135,-0.015694978,0.046013574,0.039634235,-0.031839127,0.026828168,0.051025009
201136,0.041297893,-0.003237556,0.004466139,-0.029911075,-0.03875,-0.070416838
201137,0,-0.00563498,0.039232736,-0.009647609,-0.027107242,0.118335457
201138,-0.003918154,0.052447598,0.010797342,0.019720624,0.039484247,0.152972035
201139,-0.001162752,0.009313155,-0.00615148,-0.008510677,0.029262584,-0.053550679
201140,-0.032600418,0.026253958,-0.061092056,-0.01911342,0.011193946,0.057601881
201141,-0.027060231,-0.002949853,0.072273922,0.062672366,0.001112797,0.182047998
201142,0.032975139,-0.00968429,0.006881492,0.005036043,0.003936936,0.005380273
201143,-0.022459858,0.033552152,-0.027170078,-0.008342401,0.025237783,0.089350875
201144,0.01855148,-0.010507846,-0.009557522,0.027877055,0.038595306,0.131698849
201145,-0.016739203,-0.016683758,-0.005886427,0.130616514,-0.004621011,0.145386376
201146,-0.032188207,0.018228334,-0.030150785,0.014572572,0.073731216,0.042532715
201147,-0.012485078,0.021372636,0.029767138,-0.036061793,-0.032066568,-0.046959692
201148,-0.025766811,0.009760705,-0.019332679,0,0.006677233,0.048488634
201149,0.028427069,-0.02487718,0.031181165,-0.004276237,0.021472425,-0.046683045
201150,0.033633605,0.013073824,-0.019501004,-0.096519453,0.004856005,-0.186519418
201151,-0.020296423,-0.03156853,-0.031239388,0.003154574,-0.021663207,-0.082538639
201152,-0.008928571,0.005405405,-0.011827957,0.007254262,0.004681311,0.029189153
201153,0,0.024014337,-0.002100105,0.007716591,-0.005917195,-0.035483871
201201,0,-0.016806688,-0.013176674,-0.021291881,-0.007743399,-0.202030749
201202,0.012634708,0.013578018,0.022085408,0.000708466,-0.193274301,-0.023853211
201203,0,0.167178536,0.007894699,-0.001864939,-0.005979073,0.286967912
201204,0.006390977,0.024280911,0.020058315,0.034680087,0.013476123,0.163615988
201205,0.008182748,-0.016909029,0.01754386,0.022650439,0.029752066,0.05174163
201206,0.020866742,-0.006289277,0.010443038,0.020357094,-0.045426701,0.099685601
201207,0.012540193,0.053350206,0.012963522,0.017261965,0.023112961,0.071768815
201208,0,-0.01344012,-0.008115913,0.009058971,-0.022589025,-0.026594223
201209,-0.003851881,0.005651458,-0.011830849,0.029931158,-0.010752659,0.033313594
201210,-0.007931874,-0.019543944,0.000301963,-0.001509632,0.050499002,0.045898727
201211,0.036557165,0.002221661,-0.022166778,-0.008217653,0.009142857,-0.053596115
201212,-0.009626274,-0.000571784,0.005434869,-0.021337125,-0.009302325,0.064608405
201213,0.097417835,0.014438422,-0.002372193,-0.013738336,-0.002410929,-0.078074916
201214,-0.017722878,0.039092289,-0.079189638,-0.014857143,0,-0.081738705
201215,-0.038573028,-0.020814569,0.019408534,0.010577183,0.004485676,0.000301599
201216,-0.039892825,-0.000310016,0.013027232,0.015309247,0,0.03379845
201217,-0.036791285,-0.003757076,0.034255185,0.017623883,-0.004479008,-0.003443989
201218,-0.00629871,0.019619619,0.004736531,-0.043606365,-0.019408473,-0.026562058
201219,0.020106849,-0.070218661,-0.004306128,0.096473722,-0.021541232,-0.151216564
201220,-0.067907008,-0.020958051,-0.008494733,-0.020904729,-0.035351803,-0.0083167
201221,0.043904247,0.070559576,0.00714289,-0.023855545,-0.015521862,-0.021550226
201222,0,0.063066154,-0.040391321,-0.029924367,-0.045762712,0.009057397
201223,-0.00959151,0.001076076,0.046936546,-0.009924675,0.039751123,0.07281209
201224,-0.03191486,0.018543921,0.003708699,-0.012764562,0.017693128,0.160370874
201225,0.064526914,0.007851759,0.05266435,-0.047069273,0.049704941,-0.017273838
201226,-0.020124297,-0.045303532,0.011072382,-0.017208981,-0.003820408,-0.064029023
201227,-0.028443623,0.008552632,0,0.018590998,-0.007684918,0.126644737
201228,0.016134237,-0.006986345,0.007675088,0.03776582,0.04740058,0.009526866
201229,0.049926978,-0.072580675,-0.035981891,0.003732441,-0.014874465,-0.179365939
201230,-0.035545799,-0.026744945,-0.029825704,-0.028324766,0.049057983,-0.110567515
201231,-0.073195527,0.002559415,-0.042669584,-0.005714286,0.044827586,0.094698391
201232,0.036670334,0.070038911,-0.038347107,0.011000344,0.018021115,0.061549346
201233,0.04108213,-0.056143728,-0.00067981,0.030612211,-0.009570924,-0.053577158
201234,-0.016661113,-0.013554693,0.028856062,0.026043371,-0.040026033,-0.03354795
201235,-0.04,0.013065007,-0.009759533,0,0.003871876,0.036370056
